Name,Rating,TMDB ID
In the Lost Lands,5.9,324544
Opus,5.313,1202479
Novocaine,7.0,1195506
Black Bag,6.6,1233575
The Rule of Jenny Pen,7.154,1212742
Mickey 17,7.0,696506
Flight Risk,6.159,1126166
Last Breath,6.1,972533
I Heart Willie,5.0,1372605
The Monkey,5.953,1124620
Paddington in Peru,6.831,516729
Heart Eyes,6.267,1302916
Love Hurts,5.932,1226406
Companion,7.1,1084199
September 5th,0.0,1206963
Presence,6.0,1140535
One of Them Days,7.0,1280672
The Brutalist,7.081,549509
Wolfman,2.4,156310
Peter Pan's Neverland Nightmare,5.8,1020414
The Last Showgirl,6.5,1235499
Mufasa : The Lion King,7.452,762509
Lord of the Rings: The War of the Rohirrim,6.6,839033
Y2K,5.3,17122
765874 - Unification,7.0,1390127
Moana 2,7.12,1241982
Gladiator 2,4.125,58419
Wicked,6.9,402431
A Real Pain,6.774,1013850
Red One,7.2,900667
Anora,7.054,1064213
Heretic,7.079,1138194
Here,6.7,940139
We Live in Time,7.367,1100099
Conclave,7.2,974576
Venom: The Last Dance,6.784,912649
Rumours,4.8,1187417
Smile 2,6.599,1100782
Piece by Piece,7.511,1236419
Joker: Folie a Deux,5.471,889737
Megalopolis,5.287,592831
The Wild Robot,8.336,1184918
Transformers One,8.1,698687
The Substance,7.135,933260
The Killer's Game,6.451,507241
Speak No Evil,6.636,833339
My Old _____,6.881,947891
The Front Room,5.289,1016848
"Beetlejuice, Beetlejuice",7.374,4011
City of Dreams,6.1,901059
Afraid,5.989,1062215
Strange Darling,6.929,1029281
Slingshot,6.084,916728
The Crow,7.5,9495
Blink Twice,6.7,840705
It Ends with Us,7.049,1079091
Cuckoo,5.734,869291
Alien: Romulus,7.214,945961
Skincare,6.007,1144911
Borderlands,5.735,365177
Trap,6.347,1032823
The Beast Within,5.965,1300962
Deadpool & Wolverine,7.6,533535
Oddity,6.682,1216191
Twisters,6.9,718821
Longlegs,6.566,1226578
The Bikeriders,6.7,1008409
Despicable Me 4,7.055,519182
MaXXXine,6.369,1023922
Horizon: An American Saga Chapter 1,6.897,932086
A Quiet Place: Day One,6.743,762441
Latency,5.543,1042657
Inside Out 2,7.6,1022789
The Watchers,6.4,1086747
In a Violent Nature,5.7,1214509
Furiosa A Mad Max Saga,7.487,786892
Ezra,5.5,22366
Hit Man,6.8,974635
The Strangers Chapter 1,5.772,1010600
Kingdom of the Planet of the Apes,7.083,653346
Tarot,3.7,406869
