Name,Rating,Notes
"Saltburn,",7/10,
"Poor Things,",8/10,
"The Iron Claw,",9/10,
"Aquaman and the Lost Kingdom,",3/10,
"Ferrari,",5/10,
"Anyone But You,",7/10,
"Wonka,",8/10,
"Silent Night,",7/10,
"The Boys in the Boat,",8/10,
"The Boy and the Heron,",8/10,
"Godzilla Minus One,",10/10,
"Dream Scenario,",9/10,
"Priscilla,",8/10,
"Wish,",7/10,
"Napoleon,",6/10,
"Next Goal Wins,",8/10,
"The Hunger Games: The Ballad of Songbirds & Snakes,",7/10,
"The Holdovers,",7/10,
"The Marvels,",5/10,
"The Marsh King's Daughter,",5/10,
"Anatomy of a Fall,",9/10,
"Five Nights at Freddy's,",7/10,
"Soulmates,",3/10,
"Killers of the Flower Moon,",8/10,
"The Human Voice (Short),",6/10,
"Strange Way of Life (Short),",7/10,
"When Evil Lurks,",9/10,
"The Royal Hotel,",7/10,
"The Kill Room,",6/10,
"The Creator,",8/10,
"It Lives Inside,",7/10,
"Satanic Hispanics,",5/10,
"A Haunting in Venice,",6/10,
"Dumb Money,",10/10,
"Aristotle and Dante Discover the Secrets of the Universe,",7/10,
"The Nun 2,",4/10,
"Don't Look Away,",3/10,
"The Equalizer 3,",6/10,
"Retribution,",4/10,
"Golda,",7/10,
"Bottoms,",10/10,
"Landscape with Invisible Hand,",10/10,
"Birth/Rebirth,",9/10,
"Blue Beetle,",7/10,
"The Last Voyage of the Demeter,",5/10,
"Jules,",7/10,
"Gran Turismo,",8/10,
"Theater Camp,",9/10,
"Teenage Mutant Ninja Turtles: Mutant Mayhem,",8/10,
"Meg 2: The Trench,",1/10,
"Haunted Mansion,",6/10,
"Oppenheimer,",10/10,
"Barbie,",5/10,
"Mission: Impossible - Dead Reckoning Part One,",7/10,
"Sound of Freedom,",7/10,
"Nuke'Em High (1986),",6/10,
"The Lesson,",6/10,
"No Hard Feelings,",5/10,
"Past Lives,",10/10,
"Indiana Jones and The Dial of Destiny,",5/10,
"Asteroid City,",7/10,
"RAD (1986),",8/10,
"God is a Bullet,",6/10,
"Elemental,",8/10,
"The Flash,",6/10,
"The Boogeyman,",4/10,
"Spider-man: Across the Spider-verse,",9/10,
"The Machine,",5/10,
"The Little Mermaid,",4/10,
"Fast X,",5/10,
"Hypnotic,",7/10,
"Fool's Paradise,",7/10,
"Guardians of the Galaxy Volume 3,",6/10,
"Evil Dead Rise,",8/10,
"Polite Society,",9/10,
"Sisu,",8/10,
"Star Trek Picard Season 3,",11/10,
"The Covenant,",7/10,
"Beau is Afraid,",4/10,
"Nefarious,",7/10,
"Renfield,",6/10,
"Paint,",3/10,
"The Super Mario Bros. Movie,",5/10,
"Malum,",7/10,
"Air,",7/10,
"Dungeon & Dragons: Honor Among Thieves,",9/10,
"A Good Person,",8/10,
"John Wick Chapter 4,",8/10,
"Shazam! Fury of the Gods,",3/10,
"65,",4/10,
"Scream 6,",5/10,
"Creed 3,",8/10,
"Cocaine Bear,",5/10,
"Grizzly (1976),",7/10,
"Winnie-the-Pooh: Blood and Honey,",3/10,
"Ant-Man and the Wasp: Quantomania,",5/10,
"Living,",9/10,
"All Quiet on the Western Front,",10/10,
"Knock at the Cabin,",7/10,
"Missing,",8/10,
"Puss in Boots The last wish,",8/10,
"Skinamarink,",1/10,
"Babylon,",6/10,
"Megan,",5/10,
"A Man Called Otto,",10/10,
"Talk to Me,",10/10,
